T	38.722020000	-119.801700000	1845.2	
T	38.722050000	-119.801480000	1845.9		
T	38.722110000	-119.801170000	1847.1		
T	38.722170000	-119.800980000	1848.3		
T	38.722260000	-119.800810000	1849.8		
T	38.722370000	-119.800700000	1851.1		
T	38.722520000	-119.800610000	1852.6		
T	38.722680000	-119.800570000	1853.5		
T	38.722810000	-119.800600000	1853.4		
T	38.722930000	-119.800650000	1852.7		
T	38.723050000	-119.800720000	1852.2		
T	38.723240000	-119.800850000	1851.7		
T	38.723510000	-119.801070000	1850.1		
T	38.723700000	-119.801210000	1848.3		
T	38.723840000	-119.801240000	1847.8		
T	38.724010000	-119.801170000	1847.0		
T	38.724140000	-119.801070000	1846.4		
T	38.724230000	-119.800910000	1846.2		
T	38.724340000	-119.800730000	1846.2		
T	38.724420000	-119.800540000	1846.4		
T	38.724590000	-119.800230000	1845.1		
T	38.724750000	-119.800020000	1843.3		
T	38.724750000	-119.800020000	1843.3		
T	38.724750000	-119.800020000	1843.3		
T	38.724440000	-119.799790000	1845.3		
T	38.720900000	-119.797050000	1820.7		
T	38.720540000	-119.796780000	1816.7		
T	38.718500000	-119.795260000	1812.1		
T	38.717590000	-119.794620000	1803.7		
T	38.717310000	-119.794370000	1803.8		
T	38.717050000	-119.793990000	1803.9		
T	38.716720000	-119.793610000	1805.1		
T	38.716460000	-119.793330000	1805.3		
T	38.716120000	-119.793080000	1802.9		
T	38.715780000	-119.792940000	1797.7		
T	38.715430000	-119.792790000	1793.1		
T	38.714670000	-119.792480000	1792.0		
T	38.713920000	-119.792150000	1791.7		
T	38.713440000	-119.791830000	1793.1		
T	38.712690000	-119.791340000	1788.1		
T	38.711920000	-119.790810000	1778.9		
T	38.711550000	-119.790620000	1778.5		
T	38.711260000	-119.790490000	1778.5		
T	38.710840000	-119.790320000	1777.6		
T	38.710420000	-119.790250000	1776.9		
T	38.710180000	-119.790250000	1776.0		
T	38.709830000	-119.790250000	1773.2		
T	38.709530000	-119.790270000	1770.7		
T	38.708580000	-119.790370000	1765.5		
T	38.707150000	-119.790520000	1764.8		
T	38.706680000	-119.790520000	1762.2		
T	38.706310000	-119.790440000	1758.5		
T	38.705980000	-119.790360000	1755.5		
T	38.705500000	-119.790270000	1752.9		
T	38.704920000	-119.790130000	1752.0		
T	38.704650000	-119.790070000	1751.5		
T	38.704240000	-119.789980000	1746.6		
T	38.703770000	-119.789930000	1743.0		
T	38.703290000	-119.789790000	1742.0		
T	38.702990000	-119.789650000	1742.4		
T	38.702600000	-119.789380000	1743.4		
T	38.702260000	-119.789000000	1743.5		
T	38.701920000	-119.788510000	1740.3		
T	38.701680000	-119.787850000	1736.5		
T	38.701430000	-119.786660000	1732.4		
T	38.701200000	-119.785890000	1723.4		
T	38.701020000	-119.785520000	1724.1		
T	38.700720000	-119.785100000	1722.9		
T	38.699900000	-119.784320000	1719.7		
T	38.698900000	-119.783300000	1706.5		
T	38.698740000	-119.783180000	1705.7		
T	38.698630000	-119.783080000	1705.5		
T	38.698240000	-119.782740000	1704.5		
T	38.698130000	-119.782670000	1704.5		
T	38.697230000	-119.782090000	1695.9		
T	38.696820000	-119.781860000	1695.0		
T	38.696440000	-119.781580000	1694.0		
T	38.695480000	-119.780830000	1690.1		
T	38.694930000	-119.780270000	1686.3		
T	38.694750000	-119.780110000	1686.5		
T	38.694200000	-119.779620000	1684.3		
T	38.693920000	-119.779300000	1682.3		
T	38.693740000	-119.779030000	1677.5		
T	38.693680000	-119.778890000	1675.5		
T	38.693590000	-119.778530000	1671.3		
T	38.693550000	-119.777740000	1677.4		
T	38.693520000	-119.776280000	1678.2		
T	38.693510000	-119.775810000	1676.8		
T	38.693600000	-119.775380000	1674.8		
T	38.693710000	-119.775050000	1677.4		
T	38.693950000	-119.774750000	1679.7		
T	38.694240000	-119.774510000	1679.2		
T	38.694440000	-119.774320000	1677.7		
T	38.694590000	-119.774030000	1679.9		
T	38.694950000	-119.773460000	1685.4		
T	38.695170000	-119.773230000	1686.7		
T	38.695360000	-119.773090000	1690.4		
T	38.695610000	-119.773040000	1691.4		
T	38.695840000	-119.773050000	1695.9		
T	38.696180000	-119.773140000	1697.6		
T	38.696580000	-119.773190000	1694.6		
T	38.697010000	-119.773130000	1693.7		
T	38.697590000	-119.772930000	1693.2		
T	38.698030000	-119.772730000	1694.0		
T	38.698330000	-119.772580000	1693.3		
T	38.698540000	-119.772400000	1693.5		
T	38.698660000	-119.772250000	1694.1		
T	38.698750000	-119.772070000	1696.0		
T	38.698830000	-119.771880000	1697.3		
T	38.698880000	-119.771640000	1698.2		
T	38.698900000	-119.771390000	1699.0		
T	38.698890000	-119.771120000	1699.3		
T	38.698830000	-119.770860000	1699.3		
T	38.698800000	-119.770800000	1699.3		
T	38.698800000	-119.770800000	1699.3		
T	38.698800000	-119.770800000	1699.3		
T	38.698960000	-119.770830000	1698.0		
T	38.698960000	-119.770830000	1698.0		
T	38.698960000	-119.770830000	1698.0		
T	38.698800000	-119.770800000	1699.3		
T	38.698800000	-119.770800000	1699.3		
T	38.698800000	-119.770800000	1699.3		
T	38.698740000	-119.770660000	1699.2		
T	38.698510000	-119.770330000	1699.3		
T	38.698210000	-119.770070000	1699.7		
T	38.697570000	-119.769850000	1702.0		
T	38.696330000	-119.769400000	1702.5		
T	38.696290000	-119.769380000	1702.4		
T	38.696090000	-119.769300000	1702.0		
T	38.695850000	-119.769210000	1701.8		
T	38.695480000	-119.769060000	1702.5		
T	38.695090000	-119.768880000	1703.3		
T	38.694910000	-119.768760000	1703.0		
T	38.694870000	-119.768740000	1703.0		
T	38.694560000	-119.768590000	1703.2		
T	38.693940000	-119.768210000	1703.0		
T	38.693450000	-119.767910000	1702.6		
T	38.693270000	-119.767840000	1702.7		
T	38.692960000	-119.767750000	1702.4		
T	38.692480000	-119.767690000	1699.2		
T	38.692070000	-119.767630000	1692.8		
T	38.691630000	-119.767500000	1693.5		
T	38.691200000	-119.767250000	1685.4		
T	38.690770000	-119.766980000	1685.0		
T	38.690530000	-119.766790000	1683.0		
T	38.690300000	-119.766600000	1677.3		
T	38.690050000	-119.766290000	1675.4		
T	38.689840000	-119.765970000	1673.6		
T	38.689720000	-119.765590000	1669.7		
T	38.689610000	-119.764890000	1674.0		
T	38.689610000	-119.764800000	1674.2		
T	38.689630000	-119.764400000	1674.6		
T	38.689720000	-119.763720000	1676.6		
T	38.689830000	-119.762930000	1676.9		
T	38.689880000	-119.762600000	1679.8		
T	38.689880000	-119.762210000	1682.5		
T	38.689780000	-119.761710000	1684.6		
T	38.689650000	-119.761160000	1683.5		
T	38.689530000	-119.760400000	1678.2		
T	38.689520000	-119.760090000	1680.9		
T	38.689510000	-119.759740000	1682.1		
T	38.689520000	-119.759380000	1682.1		
T	38.689560000	-119.758920000	1681.3		
T	38.689600000	-119.758580000	1679.9		
T	38.689650000	-119.758200000	1679.5		
T	38.689640000	-119.757860000	1679.4		
T	38.689590000	-119.757560000	1678.9		
T	38.689430000	-119.757100000	1679.4		
T	38.689170000	-119.756700000	1683.2		
T	38.689060000	-119.756590000	1683.0		
T	38.688830000	-119.756420000	1684.0		
T	38.688570000	-119.756130000	1686.3		
T	38.688330000	-119.755760000	1689.7		
T	38.688060000	-119.755270000	1685.0		
T	38.687800000	-119.754880000	1692.9		
T	38.687530000	-119.754630000	1694.6		
T	38.687450000	-119.754590000	1693.8		
T	38.686930000	-119.754320000	1690.3		
T	38.686400000	-119.754060000	1689.3		
T	38.685940000	-119.753840000	1691.6		
T	38.684620000	-119.753280000	1687.2		
T	38.684070000	-119.753060000	1689.0		
T	38.683280000	-119.752840000	1690.3		
T	38.682970000	-119.752740000	1690.6		
T	38.682680000	-119.752570000	1692.3		
T	38.682210000	-119.752190000	1699.3		
T	38.681090000	-119.750840000	1698.6		
T	38.680080000	-119.749630000	1698.3		
T	38.679630000	-119.748830000	1703.1		
T	38.679380000	-119.747950000	1701.7		
T	38.679320000	-119.747500000	1701.0		
T	38.679320000	-119.747000000	1701.9		
T	38.679340000	-119.746550000	1701.9		
T	38.679370000	-119.746280000	1702.0		
T	38.679460000	-119.745270000	1701.7		
T	38.679510000	-119.744920000	1704.8		
T	38.679530000	-119.744560000	1704.5		
T	38.679530000	-119.744220000	1704.3		
T	38.679460000	-119.743730000	1704.0		
T	38.679380000	-119.743400000	1705.8		
T	38.679200000	-119.742950000	1707.4		
T	38.678970000	-119.742500000	1707.5		
T	38.678710000	-119.742020000	1714.2		
T	38.678520000	-119.741510000	1716.8		
T	38.678360000	-119.740970000	1720.3		
T	38.678210000	-119.740390000	1725.0		
T	38.678070000	-119.740000000	1728.8		
T	38.677800000	-119.739600000	1727.7		
T	38.677250000	-119.738740000	1728.2		
T	38.677010000	-119.738330000	1722.3		
T	38.676380000	-119.736680000	1719.7		
T	38.675830000	-119.735370000	1725.5		
T	38.675700000	-119.735180000	1727.4		
T	38.675490000	-119.734960000	1728.6		
T	38.675230000	-119.734790000	1726.2		
T	38.674210000	-119.734160000	1731.8		
T	38.673670000	-119.733830000	1743.0		
T	38.673200000	-119.733500000	1746.5		
T	38.672790000	-119.733150000	1747.2		
T	38.671640000	-119.732090000	1746.9		
T	38.671450000	-119.731900000	1747.5		
T	38.670920000	-119.731400000	1748.3		
T	38.670380000	-119.730830000	1748.4		
T	38.670170000	-119.730470000	1745.0		
T	38.669990000	-119.729870000	1730.0		
T	38.669860000	-119.729290000	1730.3		
T	38.669740000	-119.729040000	1729.1		
T	38.669640000	-119.728910000	1729.0		
T	38.669320000	-119.728610000	1728.3		
T	38.668570000	-119.728150000	1730.0		
T	38.668320000	-119.728060000	1726.5		
T	38.668020000	-119.728080000	1729.4		
T	38.667790000	-119.728200000	1736.2		
T	38.667240000	-119.728670000	1739.7		
T	38.667080000	-119.728780000	1739.0		
T	38.666780000	-119.728860000	1740.6		
T	38.666470000	-119.728860000	1742.1		
T	38.666300000	-119.728780000	1743.7		
T	38.666100000	-119.728660000	1744.7		
T	38.665600000	-119.728070000	1747.8		
T	38.664700000	-119.726930000	1748.0		
T	38.664510000	-119.726780000	1748.2		
T	38.664250000	-119.726650000	1746.9		
T	38.663580000	-119.726450000	1745.0		
T	38.663000000	-119.726230000	1744.1		
